Student ID,School ID,Condition,Preference Rank
0,0,true,1
0,2,true,2
0,1,true,3
0,4,true,4
0,3,true,5
1,0,true,1
1,3,true,2
1,4,true,3
1,2,true,4
1,1,true,5
2,3,true,1
2,0,true,2
2,4,true,3
2,1,true,4
2,2,true,5
3,1,true,1
3,0,true,2
3,3,true,3
3,4,true,4
3,2,true,5
4,3,true,1
4,0,true,2
4,1,true,3
4,4,true,4
4,2,true,5
5,1,true,1
5,0,true,2
5,2,true,3
5,4,true,4
5,3,true,5
6,3,true,1
6,0,true,2
6,4,true,3
6,1,true,4
6,2,true,5
7,3,true,1
7,0,true,2
7,4,true,3
7,1,true,4
7,2,true,5
8,3,true,1
8,4,true,2
8,0,true,3
8,2,true,4
8,1,true,5
9,0,true,1
9,4,true,2
9,1,true,3
9,3,true,4
9,2,true,5
10,4,true,1
10,0,true,2
10,3,true,3
10,2,true,4
10,1,true,5
11,0,true,1
11,4,true,2
11,3,true,3
11,2,true,4
11,1,true,5
12,3,true,1
12,4,true,2
12,0,true,3
12,2,true,4
12,1,true,5
13,1,true,1
13,0,true,2
13,3,true,3
13,4,true,4
13,2,true,5
14,3,true,1
14,0,true,2
14,4,true,3
14,1,true,4
14,2,true,5
15,3,true,1
15,0,true,2
15,4,true,3
15,1,true,4
15,2,true,5
16,1,true,1
16,0,true,2
16,2,true,3
16,4,true,4
16,3,true,5
17,1,true,1
17,0,true,2
17,2,true,3
17,4,true,4
17,3,true,5
18,0,true,1
18,2,true,2
18,1,true,3
18,4,true,4
18,3,true,5
19,3,true,1
19,0,true,2
19,4,true,3
19,1,true,4
19,2,true,5
20,3,true,1
20,4,true,2
20,0,true,3
20,2,true,4
20,1,true,5
21,0,true,1
21,4,true,2
21,2,true,3
21,1,true,4
21,3,true,5
22,3,true,1
22,0,true,2
22,4,true,3
22,2,true,4
22,1,true,5
23,0,true,1
23,1,true,2
23,2,true,3
23,4,true,4
23,3,true,5
24,2,true,1
24,0,true,2
24,4,true,3
24,1,true,4
24,3,true,5
25,3,true,1
25,0,true,2
25,1,true,3
25,4,true,4
25,2,true,5
26,4,true,1
26,0,true,2
26,3,true,3
26,2,true,4
26,1,true,5
27,3,true,1
27,0,true,2
27,4,true,3
27,1,true,4
27,2,true,5
28,2,true,1
28,0,true,2
28,4,true,3
28,1,true,4
28,3,true,5
29,0,true,1
29,2,true,2
29,1,true,3
29,4,true,4
29,3,true,5
30,3,true,1
30,0,true,2
30,4,true,3
30,2,true,4
30,1,true,5
31,3,true,1
31,4,true,2
31,0,true,3
31,2,true,4
31,1,true,5
32,3,true,1
32,4,true,2
32,0,true,3
32,2,true,4
32,1,true,5
33,3,true,1
33,0,true,2
33,4,true,3
33,2,true,4
33,1,true,5
34,4,true,1
34,0,true,2
34,2,true,3
34,3,true,4
34,1,true,5
35,1,true,1
35,0,true,2
35,2,true,3
35,4,true,4
35,3,true,5
36,3,true,1
36,0,true,2
36,4,true,3
36,1,true,4
36,2,true,5
37,0,true,1
37,2,true,2
37,4,true,3
37,1,true,4
37,3,true,5
38,2,true,1
38,0,true,2
38,4,true,3
38,1,true,4
38,3,true,5
39,4,true,1
39,3,true,2
39,0,true,3
39,2,true,4
39,1,true,5
40,4,true,1
40,0,true,2
40,3,true,3
40,1,true,4
40,2,true,5
41,0,true,1
41,2,true,2
41,1,true,3
41,4,true,4
41,3,true,5
42,3,true,1
42,0,true,2
42,4,true,3
42,1,true,4
42,2,true,5
43,1,true,1
43,2,true,2
43,0,true,3
43,4,true,4
43,3,true,5
44,1,true,1
44,0,true,2
44,2,true,3
44,4,true,4
44,3,true,5
45,1,true,1
45,0,true,2
45,3,true,3
45,4,true,4
45,2,true,5
46,0,true,1
46,2,true,2
46,4,true,3
46,1,true,4
46,3,true,5
47,3,true,1
47,0,true,2
47,4,true,3
47,1,true,4
47,2,true,5
48,1,true,1
48,0,true,2
48,2,true,3
48,4,true,4
48,3,true,5
49,0,true,1
49,2,true,2
49,1,true,3
49,4,true,4
49,3,true,5
50,3,true,1
50,0,true,2
50,4,true,3
50,2,true,4
50,1,true,5
51,2,true,1
51,4,true,2
51,0,true,3
51,1,true,4
51,3,true,5
52,1,true,1
52,0,true,2
52,2,true,3
52,4,true,4
52,3,true,5
53,3,true,1
53,4,true,2
53,0,true,3
53,2,true,4
53,1,true,5
54,3,true,1
54,0,true,2
54,4,true,3
54,1,true,4
54,2,true,5
55,2,true,1
55,4,true,2
55,0,true,3
55,1,true,4
55,3,true,5
56,0,true,1
56,4,true,2
56,2,true,3
56,1,true,4
56,3,true,5
57,2,true,1
57,4,true,2
57,0,true,3
57,1,true,4
57,3,true,5
58,2,true,1
58,0,true,2
58,4,true,3
58,1,true,4
58,3,true,5
59,3,true,1
59,4,true,2
59,0,true,3
59,2,true,4
59,1,true,5
60,0,true,1
60,3,true,2
60,1,true,3
60,4,true,4
60,2,true,5
61,3,true,1
61,1,true,2
61,0,true,3
61,4,true,4
61,2,true,5
62,4,true,1
62,3,true,2
62,0,true,3
62,2,true,4
62,1,true,5
63,1,true,1
63,0,true,2
63,2,true,3
63,4,true,4
63,3,true,5
64,2,true,1
64,4,true,2
64,0,true,3
64,1,true,4
64,3,true,5
65,0,true,1
65,2,true,2
65,4,true,3
65,3,true,4
65,1,true,5
66,4,true,1
66,2,true,2
66,0,true,3
66,3,true,4
66,1,true,5
67,4,true,1
67,2,true,2
67,0,true,3
67,1,true,4
67,3,true,5
68,4,true,1
68,0,true,2
68,2,true,3
68,3,true,4
68,1,true,5
69,1,true,1
69,0,true,2
69,2,true,3
69,4,true,4
69,3,true,5
70,3,true,1
70,0,true,2
70,4,true,3
70,2,true,4
70,1,true,5
71,2,true,1
71,0,true,2
71,4,true,3
71,1,true,4
71,3,true,5
72,3,true,1
72,0,true,2
72,4,true,3
72,1,true,4
72,2,true,5
73,0,true,1
73,2,true,2
73,4,true,3
73,1,true,4
73,3,true,5
74,1,true,1
74,0,true,2
74,2,true,3
74,4,true,4
74,3,true,5
75,3,true,1
75,0,true,2
75,4,true,3
75,2,true,4
75,1,true,5
76,4,true,1
76,3,true,2
76,0,true,3
76,1,true,4
76,2,true,5
77,2,true,1
77,0,true,2
77,4,true,3
77,1,true,4
77,3,true,5
78,2,true,1
78,4,true,2
78,0,true,3
78,3,true,4
78,1,true,5
79,0,true,1
79,2,true,2
79,4,true,3
79,1,true,4
79,3,true,5
80,1,true,1
80,0,true,2
80,3,true,3
80,4,true,4
80,2,true,5
81,3,true,1
81,0,true,2
81,4,true,3
81,2,true,4
81,1,true,5
82,3,true,1
82,0,true,2
82,4,true,3
82,1,true,4
82,2,true,5
83,3,true,1
83,4,true,2
83,0,true,3
83,2,true,4
83,1,true,5
84,3,true,1
84,4,true,2
84,0,true,3
84,2,true,4
84,1,true,5
85,3,true,1
85,0,true,2
85,4,true,3
85,1,true,4
85,2,true,5
86,3,true,1
86,0,true,2
86,4,true,3
86,2,true,4
86,1,true,5
87,0,true,1
87,1,true,2
87,2,true,3
87,4,true,4
87,3,true,5
88,3,true,1
88,0,true,2
88,1,true,3
88,4,true,4
88,2,true,5
89,3,true,1
89,0,true,2
89,4,true,3
89,2,true,4
89,1,true,5
90,3,true,1
90,0,true,2
90,4,true,3
90,2,true,4
90,1,true,5
91,3,true,1
91,0,true,2
91,1,true,3
91,4,true,4
91,2,true,5
92,3,true,1
92,0,true,2
92,4,true,3
92,2,true,4
92,1,true,5
93,3,true,1
93,0,true,2
93,1,true,3
93,4,true,4
93,2,true,5
94,3,true,1
94,1,true,2
94,0,true,3
94,4,true,4
94,2,true,5
95,0,true,1
95,3,true,2
95,4,true,3
95,2,true,4
95,1,true,5
96,4,true,1
96,0,true,2
96,2,true,3
96,1,true,4
96,3,true,5
97,3,true,1
97,0,true,2
97,4,true,3
97,1,true,4
97,2,true,5
98,3,true,1
98,0,true,2
98,4,true,3
98,2,true,4
98,1,true,5
99,3,true,1
99,1,true,2
99,0,true,3
99,4,true,4
99,2,true,5
100,3,true,1
100,4,true,2
100,0,true,3
100,2,true,4
100,1,true,5
101,0,true,1
101,4,true,2
101,3,true,3
101,2,true,4
101,1,true,5
102,4,true,1
102,2,true,2
102,0,true,3
102,1,true,4
102,3,true,5
103,0,true,1
103,2,true,2
103,4,true,3
103,3,true,4
103,1,true,5
104,3,true,1
104,0,true,2
104,4,true,3
104,2,true,4
104,1,true,5
105,1,true,1
105,0,true,2
105,4,true,3
105,2,true,4
105,3,true,5
106,4,true,1
106,0,true,2
106,3,true,3
106,2,true,4
106,1,true,5
107,3,true,1
107,0,true,2
107,4,true,3
107,2,true,4
107,1,true,5
108,3,true,1
108,0,true,2
108,4,true,3
108,2,true,4
108,1,true,5
109,1,true,1
109,0,true,2
109,2,true,3
109,4,true,4
109,3,true,5
110,3,true,1
110,0,true,2
110,4,true,3
110,1,true,4
110,2,true,5
111,0,true,1
111,4,true,2
111,2,true,3
111,3,true,4
111,1,true,5
112,0,true,1
112,2,true,2
112,4,true,3
112,3,true,4
112,1,true,5
113,0,true,1
113,4,true,2
113,3,true,3
113,2,true,4
113,1,true,5
114,3,true,1
114,4,true,2
114,0,true,3
114,2,true,4
114,1,true,5
115,1,true,1
115,0,true,2
115,2,true,3
115,4,true,4
115,3,true,5
116,0,true,1
116,4,true,2
116,2,true,3
116,1,true,4
116,3,true,5
117,3,true,1
117,0,true,2
117,1,true,3
117,4,true,4
117,2,true,5
118,0,true,1
118,3,true,2
118,4,true,3
118,2,true,4
118,1,true,5
119,3,true,1
119,0,true,2
119,1,true,3
119,4,true,4
119,2,true,5
120,3,true,1
120,0,true,2
120,4,true,3
120,2,true,4
120,1,true,5
121,3,true,1
121,0,true,2
121,4,true,3
121,1,true,4
121,2,true,5
122,1,true,1
122,0,true,2
122,3,true,3
122,4,true,4
122,2,true,5
123,3,true,1
123,4,true,2
123,0,true,3
123,1,true,4
123,2,true,5
124,2,true,1
124,0,true,2
124,4,true,3
124,1,true,4
124,3,true,5
125,3,true,1
125,0,true,2
125,4,true,3
125,2,true,4
125,1,true,5
126,3,true,1
126,4,true,2
126,0,true,3
126,2,true,4
126,1,true,5
127,2,true,1
127,4,true,2
127,0,true,3
127,1,true,4
127,3,true,5
128,2,true,1
128,0,true,2
128,4,true,3
128,1,true,4
128,3,true,5
129,2,true,1
129,0,true,2
129,4,true,3
129,1,true,4
129,3,true,5
130,4,true,1
130,3,true,2
130,0,true,3
130,2,true,4
130,1,true,5
131,3,true,1
131,0,true,2
131,4,true,3
131,1,true,4
131,2,true,5
132,3,true,1
132,0,true,2
132,4,true,3
132,1,true,4
132,2,true,5
133,4,true,1
133,2,true,2
133,0,true,3
133,1,true,4
133,3,true,5
134,0,true,1
134,3,true,2
134,1,true,3
134,4,true,4
134,2,true,5
135,4,true,1
135,0,true,2
135,2,true,3
135,1,true,4
135,3,true,5
136,3,true,1
136,0,true,2
136,4,true,3
136,1,true,4
136,2,true,5
137,2,true,1
137,4,true,2
137,0,true,3
137,1,true,4
137,3,true,5
138,1,true,1
138,3,true,2
138,0,true,3
138,4,true,4
138,2,true,5
139,0,true,1
139,3,true,2
139,4,true,3
139,2,true,4
139,1,true,5
140,1,true,1
140,0,true,2
140,2,true,3
140,4,true,4
140,3,true,5
141,3,true,1
141,4,true,2
141,0,true,3
141,2,true,4
141,1,true,5
142,3,true,1
142,1,true,2
142,0,true,3
142,4,true,4
142,2,true,5
143,2,true,1
143,4,true,2
143,1,true,3
143,0,true,4
143,3,true,5
144,3,true,1
144,0,true,2
144,1,true,3
144,4,true,4
144,2,true,5
145,3,true,1
145,1,true,2
145,0,true,3
145,4,true,4
145,2,true,5
146,2,true,1
146,0,true,2
146,4,true,3
146,3,true,4
146,1,true,5
147,2,true,1
147,4,true,2
147,0,true,3
147,3,true,4
147,1,true,5
148,0,true,1
148,1,true,2
148,2,true,3
148,4,true,4
148,3,true,5
149,1,true,1
149,0,true,2
149,4,true,3
149,3,true,4
149,2,true,5
150,4,true,1
150,2,true,2
150,0,true,3
150,1,true,4
150,3,true,5
151,0,true,1
151,3,true,2
151,4,true,3
151,1,true,4
151,2,true,5
152,3,true,1
152,4,true,2
152,0,true,3
152,2,true,4
152,1,true,5
153,3,true,1
153,4,true,2
153,0,true,3
153,2,true,4
153,1,true,5
154,4,true,1
154,0,true,2
154,1,true,3
154,2,true,4
154,3,true,5
155,3,true,1
155,0,true,2
155,4,true,3
